customer_id,week,purchase_day,order_value_rs,wallet_at_checkout,cashback_applied,net_revenue_rs,full_price
C00000,1,7,826.86,198.0,198.0,628.86,0
C00000,2,7,963.73,78.0,78.0,885.73,0
C00000,3,6,801.87,146.0,146.0,655.87,0
C00000,4,7,1057.53,200.0,200.0,857.53,0
C00000,5,6,837.66,132.0,132.0,705.66,0
C00000,6,7,950.81,200.0,200.0,750.81,0
C00000,7,7,990.24,143.0,143.0,847.24,0
C00000,8,7,968.06,200.0,200.0,768.06,0
C00001,4,3,309.06,68.0,68.0,241.06,0
C00001,5,3,756.59,163.0,163.0,593.59,0
C00001,6,5,431.75,110.0,110.0,321.75,0
C00001,7,5,543.64,28.0,28.0,515.64,0
C00001,8,5,543.92,150.0,150.0,393.92,0
C00002,1,6,729.92,200.0,200.0,529.92,0
C00002,2,7,1114.31,161.0,161.0,953.31,0
C00002,3,3,791.29,155.0,155.0,636.29,0
C00002,4,6,679.3,200.0,200.0,479.3,0
C00002,5,7,665.09,200.0,200.0,465.09,0
C00002,6,7,851.25,200.0,200.0,651.25,0
C00002,7,6,526.89,128.0,128.0,398.89,0
C00002,8,6,635.0,177.0,177.0,458.0,0
C00003,1,4,969.32,142.0,142.0,827.32,0
C00003,2,4,746.23,161.0,161.0,585.23,0
C00003,4,5,790.27,112.0,112.0,678.27,0
C00003,5,6,851.18,100.0,100.0,751.18,0
C00003,6,3,856.56,75.0,75.0,781.56,0
C00003,7,5,706.57,115.0,115.0,591.57,0
C00003,8,4,658.06,154.0,154.0,504.06,0
C00004,1,1,848.82,49.0,49.0,799.82,0
C00004,2,3,690.43,160.0,160.0,530.43,0
C00004,3,2,589.67,69.0,69.0,520.67,0
C00004,4,4,759.8,35.0,35.0,724.8,0
C00004,5,5,863.72,30.0,30.0,833.72,0
C00004,6,4,866.83,127.0,127.0,739.83,0
C00004,7,6,587.78,107.0,107.0,480.78,0
C00005,1,7,992.38,200.0,200.0,792.38,0
C00005,2,7,525.97,147.0,147.0,378.97,0
C00005,3,7,996.74,152.0,152.0,844.74,0
C00005,4,6,973.07,200.0,200.0,773.07,0
C00005,5,6,435.76,200.0,200.0,235.76,0
C00005,6,6,684.49,162.0,162.0,522.49,0
C00005,7,7,857.49,200.0,200.0,657.49,0
C00005,8,7,745.29,200.0,200.0,545.29,0
C00006,1,5,662.83,184.0,184.0,478.83,0
C00006,2,5,1051.54,96.0,96.0,955.54,0
C00006,3,4,568.53,142.0,142.0,426.53,0
C00006,4,5,437.51,134.0,134.0,303.51,0
C00006,5,7,951.17,200.0,200.0,751.17,0
C00006,6,3,1001.17,114.0,114.0,887.17,0
C00006,7,4,788.25,76.0,76.0,712.25,0
C00006,8,5,433.84,200.0,200.0,233.84,0
C00007,1,4,720.84,56.0,56.0,664.84,0
C00007,3,7,953.55,102.0,102.0,851.55,0
C00007,4,7,595.78,200.0,200.0,395.78,0
C00007,5,7,688.37,172.0,172.0,516.37,0
C00007,6,6,687.35,198.0,198.0,489.35,0
C00007,7,6,751.38,175.0,175.0,576.38,0
C00007,8,3,594.98,105.0,105.0,489.98,0
C00008,1,1,863.25,86.0,86.0,777.25,0
C00008,3,7,496.17,56.0,56.0,440.17,0
C00008,5,2,835.94,91.0,91.0,744.94,0
C00008,6,1,939.11,43.0,43.0,896.11,0
C00008,7,1,989.5,43.0,43.0,946.5,0
C00008,8,3,1043.5,33.0,33.0,1010.5,0
C00009,1,5,479.72,120.0,120.0,359.72,0
C00009,2,3,801.44,125.0,125.0,676.44,0
C00009,3,6,838.29,200.0,200.0,638.29,0
C00009,4,4,626.82,64.0,64.0,562.82,0
C00009,5,5,1133.91,59.0,59.0,1074.91,0
C00009,6,4,873.76,108.0,108.0,765.76,0
C00009,7,7,785.39,136.0,136.0,649.39,0
C00009,8,4,700.53,63.0,63.0,637.53,0
C00010,1,2,689.62,66.0,66.0,623.62,0
C00010,2,1,610.03,64.0,64.0,546.03,0
C00010,3,1,1147.61,30.0,30.0,1117.61,0
C00010,4,1,1289.07,132.0,132.0,1157.07,0
C00010,5,1,1004.06,84.0,84.0,920.06,0
C00010,6,1,789.99,60.0,60.0,729.99,0
C00010,7,1,920.44,79.0,79.0,841.44,0
C00010,8,1,868.94,15.0,15.0,853.94,0
C00011,1,6,756.68,138.0,138.0,618.68,0
C00011,2,7,541.88,103.0,103.0,438.88,0
C00011,3,6,745.76,200.0,200.0,545.76,0
C00011,4,7,961.98,119.0,119.0,842.98,0
C00011,5,6,691.82,200.0,200.0,491.82,0
C00011,6,7,679.69,200.0,200.0,479.69,0
C00011,7,7,1016.49,200.0,200.0,816.49,0
C00011,8,7,1042.14,185.0,185.0,857.14,0
C00012,1,6,737.33,114.0,114.0,623.33,0
C00012,2,6,529.44,180.0,180.0,349.44,0
C00012,3,6,693.09,200.0,200.0,493.09,0
C00012,4,7,904.83,200.0,200.0,704.83,0
C00012,5,3,434.05,141.0,141.0,293.05,0
C00012,6,3,1026.68,108.0,108.0,918.68,0
C00012,7,4,808.28,64.0,64.0,744.28,0
C00013,2,4,900.85,25.0,25.0,875.85,0
C00013,3,7,470.64,94.0,94.0,376.64,0
C00013,4,4,670.48,55.0,55.0,615.48,0
C00013,5,6,782.67,200.0,200.0,582.67,0
C00013,6,6,662.22,101.0,101.0,561.22,0
C00013,7,6,602.11,111.0,111.0,491.11,0
C00013,8,6,573.18,118.0,118.0,455.18,0
C00014,2,5,740.95,123.0,123.0,617.95,0
C00014,3,3,657.18,97.0,97.0,560.18,0
C00014,4,3,609.29,129.0,129.0,480.29,0
C00014,5,3,893.51,62.0,62.0,831.51,0
C00014,6,6,674.47,65.0,65.0,609.47,0
C00014,7,5,540.26,80.0,80.0,460.26,0
C00014,8,3,892.58,29.0,29.0,863.58,0
C00015,1,6,933.96,200.0,200.0,733.96,0
C00015,2,1,1026.25,25.0,25.0,1001.25,0
C00015,3,5,672.59,200.0,200.0,472.59,0
C00015,4,1,323.78,23.0,23.0,300.78,0
C00015,5,1,712.69,60.0,60.0,652.69,0
C00015,6,1,914.79,19.0,19.0,895.79,0
C00015,7,4,564.45,45.0,45.0,519.45,0
C00015,8,1,536.77,78.0,78.0,458.77,0
C00016,1,6,685.45,82.0,82.0,603.45,0
C00016,3,6,673.67,82.0,82.0,591.67,0
C00016,6,3,717.73,102.0,102.0,615.73,0
C00016,7,4,1013.45,92.0,92.0,921.45,0
C00016,8,3,685.1,79.0,79.0,606.1,0
C00017,1,6,712.08,32.0,32.0,680.08,0
C00017,2,2,1188.72,69.0,69.0,1119.72,0
C00017,3,1,769.75,37.0,37.0,732.75,0
C00017,4,1,823.4,33.0,33.0,790.4,0
C00017,5,3,416.56,34.0,34.0,382.56,0
C00017,6,5,624.23,145.0,145.0,479.23,0
C00017,7,3,1094.61,156.0,156.0,938.61,0
C00017,8,6,917.57,85.0,85.0,832.57,0
C00018,1,6,420.68,200.0,200.0,220.68,0
C00018,2,6,737.21,146.0,146.0,591.21,0
C00018,3,7,475.61,200.0,200.0,275.61,0
C00018,4,6,732.88,200.0,200.0,532.88,0
C00018,5,7,848.67,200.0,200.0,648.67,0
C00018,6,7,568.75,194.0,194.0,374.75,0
C00018,7,7,884.68,200.0,200.0,684.68,0
C00018,8,6,937.77,200.0,200.0,737.77,0
C00019,1,6,733.51,200.0,200.0,533.51,0
C00019,2,7,626.19,200.0,200.0,426.19,0
C00019,3,3,761.09,28.0,28.0,733.09,0
C00019,4,5,1088.06,76.0,76.0,1012.06,0
C00019,5,6,733.77,200.0,200.0,533.77,0
C00019,6,5,785.53,200.0,200.0,585.53,0
C00019,7,6,581.48,38.0,38.0,543.48,0
C00019,8,6,973.06,192.0,192.0,781.06,0
