customer_id,week,true_archetype,effective_archetype,week_ite,drifted
C00000,1,hunter,hunter,0.4261,0
C00000,2,hunter,hunter,0.4876,0
C00000,3,hunter,hunter,0.4899,0
C00000,4,hunter,hunter,0.5245,0
C00000,5,hunter,hunter,0.5255,0
C00000,6,hunter,hunter,0.5278,0
C00000,7,hunter,hunter,0.5655,0
C00000,8,hunter,hunter,0.6114,0
C00001,1,accidental_saver,accidental_saver,0.1306,0
C00001,2,accidental_saver,accidental_saver,0.138,0
C00001,3,accidental_saver,accidental_saver,0.1212,0
C00001,4,accidental_saver,accidental_saver,0.1117,0
C00001,5,accidental_saver,accidental_saver,0.1254,0
C00001,6,accidental_saver,accidental_saver,0.1137,0
C00001,7,accidental_saver,accidental_saver,0.1276,0
C00001,8,accidental_saver,accidental_saver,0.1112,0
C00002,1,hunter,hunter,0.4673,0
C00002,2,hunter,hunter,0.4672,0
C00002,3,hunter,hunter,0.5236,0
C00002,4,hunter,hunter,0.5037,0
C00002,5,hunter,hunter,0.5276,0
C00002,6,hunter,hunter,0.5777,0
C00002,7,hunter,hunter,0.5478,0
C00002,8,hunter,hunter,0.5297,0
C00003,1,accidental_saver,accidental_saver,0.1605,0
C00003,2,accidental_saver,accidental_saver,0.167,0
C00003,3,accidental_saver,accidental_saver,0.1828,0
C00003,4,accidental_saver,accidental_saver,0.159,0
C00003,5,accidental_saver,accidental_saver,0.1683,0
C00003,6,accidental_saver,accidental_saver,0.1643,0
C00003,7,accidental_saver,accidental_saver,0.1653,0
C00003,8,accidental_saver,accidental_saver,0.1657,0
C00004,1,sure_thing,sure_thing,0.0245,0
C00004,2,sure_thing,sure_thing,0.023,0
C00004,3,sure_thing,sure_thing,0.0034,0
C00004,4,sure_thing,sure_thing,0.0011,0
C00004,5,sure_thing,sure_thing,0.0102,0
C00004,6,sure_thing,sure_thing,0.0063,0
C00004,7,sure_thing,sure_thing,0.0204,0
C00004,8,sure_thing,sure_thing,0.01,0
C00005,1,hunter,hunter,0.475,0
C00005,2,hunter,hunter,0.5478,0
C00005,3,hunter,hunter,0.5017,0
C00005,4,hunter,hunter,0.5053,0
C00005,5,hunter,hunter,0.5787,0
C00005,6,hunter,hunter,0.5422,0
C00005,7,hunter,hunter,0.5601,0
C00005,8,hunter,hunter,0.5651,0
C00006,1,hunter,hunter,0.4532,0
C00006,2,hunter,hunter,0.4961,0
C00006,3,hunter,hunter,0.5037,0
C00006,4,hunter,hunter,0.5107,0
C00006,5,hunter,hunter,0.5439,0
C00006,6,hunter,hunter,0.5315,0
C00006,7,hunter,hunter,0.5541,0
C00006,8,hunter,hunter,0.5405,0
C00007,1,hunter,hunter,0.5297,0
C00007,2,hunter,hunter,0.4701,0
C00007,3,hunter,hunter,0.5503,0
C00007,4,hunter,hunter,0.5,0
C00007,5,hunter,hunter,0.5338,0
C00007,6,hunter,hunter,0.5796,0
C00007,7,hunter,hunter,0.5432,0
C00007,8,hunter,hunter,0.5527,0
C00008,1,sure_thing,sure_thing,0.0501,0
C00008,2,sure_thing,sure_thing,0.0561,0
C00008,3,sure_thing,sure_thing,0.0599,0
C00008,4,sure_thing,sure_thing,0.0411,0
C00008,5,sure_thing,sure_thing,0.0496,0
C00008,6,sure_thing,sure_thing,0.0596,0
C00008,7,sure_thing,sure_thing,0.0482,0
C00008,8,sure_thing,sure_thing,0.0521,0
C00009,1,accidental_saver,accidental_saver,0.0755,0
C00009,2,accidental_saver,accidental_saver,0.0918,0
C00009,3,accidental_saver,accidental_saver,0.0596,0
C00009,4,accidental_saver,accidental_saver,0.0747,0
C00009,5,accidental_saver,accidental_saver,0.0904,0
C00009,6,accidental_saver,hunter,0.52,1
C00009,7,accidental_saver,hunter,0.4943,1
C00009,8,accidental_saver,hunter,0.5722,1
C00010,1,sure_thing,sure_thing,0.0321,0
C00010,2,sure_thing,sure_thing,0.0181,0
C00010,3,sure_thing,sure_thing,0.0254,0
C00010,4,sure_thing,sure_thing,0.0233,0
C00010,5,sure_thing,sure_thing,0.0214,0
C00010,6,sure_thing,sure_thing,0.0176,0
C00010,7,sure_thing,sure_thing,0.0238,0
C00010,8,sure_thing,sure_thing,0.046,0
C00011,1,hunter,hunter,0.4577,0
C00011,2,hunter,hunter,0.4654,0
C00011,3,hunter,hunter,0.5004,0
C00011,4,hunter,hunter,0.5109,0
C00011,5,hunter,hunter,0.5357,0
C00011,6,hunter,hunter,0.5357,0
C00011,7,hunter,hunter,0.5404,0
C00011,8,hunter,hunter,0.5439,0
C00012,1,accidental_saver,accidental_saver,0.1799,0
C00012,2,accidental_saver,accidental_saver,0.193,0
C00012,3,accidental_saver,accidental_saver,0.1775,0
C00012,4,accidental_saver,accidental_saver,0.1946,0
C00012,5,accidental_saver,accidental_saver,0.1906,0
C00012,6,accidental_saver,accidental_saver,0.1912,0
C00012,7,accidental_saver,accidental_saver,0.1914,0
C00012,8,accidental_saver,accidental_saver,0.1865,0
C00013,1,hunter,hunter,0.4725,0
C00013,2,hunter,hunter,0.4715,0
C00013,3,hunter,hunter,0.5223,0
C00013,4,hunter,hunter,0.5378,0
C00013,5,hunter,hunter,0.5518,0
C00013,6,hunter,hunter,0.5204,0
C00013,7,hunter,hunter,0.5755,0
C00013,8,hunter,hunter,0.5847,0
C00014,1,accidental_saver,accidental_saver,0.1584,0
C00014,2,accidental_saver,accidental_saver,0.1717,0
C00014,3,accidental_saver,accidental_saver,0.1534,0
C00014,4,accidental_saver,accidental_saver,0.1675,0
C00014,5,accidental_saver,accidental_saver,0.1704,0
C00014,6,accidental_saver,accidental_saver,0.1551,0
C00014,7,accidental_saver,accidental_saver,0.1567,0
C00014,8,accidental_saver,accidental_saver,0.1808,0
C00015,1,sure_thing,sure_thing,0.1137,0
C00015,2,sure_thing,sure_thing,0.1048,0
C00015,3,sure_thing,sure_thing,0.0923,0
C00015,4,sure_thing,sure_thing,0.1111,0
C00015,5,sure_thing,sure_thing,0.1113,0
C00015,6,sure_thing,sure_thing,0.1113,0
C00015,7,sure_thing,sure_thing,0.1013,0
C00015,8,sure_thing,sure_thing,0.1182,0
C00016,1,accidental_saver,accidental_saver,0.1791,0
C00016,2,accidental_saver,accidental_saver,0.1832,0
C00016,3,accidental_saver,accidental_saver,0.2004,0
C00016,4,accidental_saver,accidental_saver,0.2064,0
C00016,5,accidental_saver,accidental_saver,0.2056,0
C00016,6,accidental_saver,accidental_saver,0.1913,0
C00016,7,accidental_saver,accidental_saver,0.2038,0
C00016,8,accidental_saver,accidental_saver,0.2174,0
C00017,1,sure_thing,sure_thing,0.0518,0
C00017,2,sure_thing,sure_thing,0.0278,0
C00017,3,sure_thing,sure_thing,0.0182,0
C00017,4,sure_thing,sure_thing,0.0561,0
C00017,5,sure_thing,sure_thing,0.0371,0
C00017,6,sure_thing,sure_thing,0.0518,0
C00017,7,sure_thing,sure_thing,0.0291,0
C00017,8,sure_thing,sure_thing,0.0364,0
C00018,1,hunter,hunter,0.4621,0
C00018,2,hunter,hunter,0.4915,0
C00018,3,hunter,hunter,0.4949,0
C00018,4,hunter,hunter,0.487,0
C00018,5,hunter,hunter,0.5393,0
C00018,6,hunter,hunter,0.5717,0
C00018,7,hunter,hunter,0.5589,0
C00018,8,hunter,hunter,0.5807,0
C00019,1,accidental_saver,accidental_saver,0.0974,0
C00019,2,accidental_saver,accidental_saver,0.1122,0
C00019,3,accidental_saver,accidental_saver,0.1119,0
C00019,4,accidental_saver,accidental_saver,0.1021,0
C00019,5,accidental_saver,accidental_saver,0.1042,0
C00019,6,accidental_saver,accidental_saver,0.1047,0
C00019,7,accidental_saver,accidental_saver,0.114,0
C00019,8,accidental_saver,accidental_saver,0.1173,0
C00020,1,hunter,hunter,0.4819,0
C00020,2,hunter,hunter,0.5361,0
C00020,3,hunter,hunter,0.468,0
C00020,4,hunter,hunter,0.4773,0
C00020,5,hunter,hunter,0.5463,0
C00020,6,hunter,hunter,0.5431,0
C00020,7,hunter,hunter,0.532,0
C00020,8,hunter,hunter,0.5605,0
C00021,1,sure_thing,sure_thing,0.053,0
C00021,2,sure_thing,sure_thing,0.0408,0
C00021,3,sure_thing,sure_thing,0.0505,0
C00021,4,sure_thing,sure_thing,0.0487,0
C00021,5,sure_thing,sure_thing,0.0394,0
C00021,6,sure_thing,sure_thing,0.0412,0
C00021,7,sure_thing,sure_thing,0.0591,0
C00021,8,sure_thing,sure_thing,0.0422,0
C00022,1,hunter,hunter,0.4684,0
C00022,2,hunter,hunter,0.4649,0
C00022,3,hunter,hunter,0.5085,0
C00022,4,hunter,hunter,0.4948,0
C00022,5,hunter,hunter,0.5283,0
C00022,6,hunter,hunter,0.5354,0
C00022,7,hunter,hunter,0.4936,0
C00022,8,hunter,hunter,0.5467,0
C00023,1,hunter,hunter,0.4981,0
C00023,2,hunter,hunter,0.4604,0
C00023,3,hunter,hunter,0.4486,0
C00023,4,hunter,hunter,0.5377,0
C00023,5,hunter,hunter,0.5233,0
C00023,6,hunter,hunter,0.5556,0
C00023,7,hunter,hunter,0.5969,0
C00023,8,hunter,hunter,0.5671,0
C00024,1,hunter,hunter,0.4474,0
C00024,2,hunter,hunter,0.474,0
C00024,3,hunter,hunter,0.4931,0
C00024,4,hunter,hunter,0.4741,0
C00024,5,hunter,hunter,0.5071,0
C00024,6,hunter,hunter,0.555,0
C00024,7,hunter,hunter,0.5099,0
C00024,8,hunter,hunter,0.559,0
C00025,1,sure_thing,sure_thing,0.0179,0
C00025,2,sure_thing,sure_thing,0.0241,0
C00025,3,sure_thing,sure_thing,0.0179,0
C00025,4,sure_thing,sure_thing,0.0234,0
C00025,5,sure_thing,sure_thing,0.0238,0
C00025,6,sure_thing,sure_thing,0.0243,0
C00025,7,sure_thing,sure_thing,0.0116,0
C00025,8,sure_thing,sure_thing,0.0122,0
C00026,1,accidental_saver,accidental_saver,0.051,0
C00026,2,accidental_saver,accidental_saver,0.0553,0
C00026,3,accidental_saver,accidental_saver,0.0197,0
C00026,4,accidental_saver,accidental_saver,0.04,0
C00026,5,accidental_saver,accidental_saver,0.0472,0
C00026,6,accidental_saver,accidental_saver,0.052,0
C00026,7,accidental_saver,accidental_saver,0.033,0
C00026,8,accidental_saver,accidental_saver,0.0364,0
C00027,1,sure_thing,sure_thing,0.0284,0
C00027,2,sure_thing,sure_thing,0.0469,0
C00027,3,sure_thing,sure_thing,0.0482,0
C00027,4,sure_thing,sure_thing,0.049,0
C00027,5,sure_thing,sure_thing,0.0493,0
C00027,6,sure_thing,sure_thing,0.0296,0
C00027,7,sure_thing,sure_thing,0.0327,0
C00027,8,sure_thing,sure_thing,0.0201,0
C00028,1,sure_thing,sure_thing,0.0601,0
C00028,2,sure_thing,sure_thing,0.0768,0
C00028,3,sure_thing,sure_thing,0.053,0
C00028,4,sure_thing,sure_thing,0.0817,0
C00028,5,sure_thing,sure_thing,0.0685,0
C00028,6,sure_thing,sure_thing,0.0719,0
C00028,7,sure_thing,sure_thing,0.0667,0
C00028,8,sure_thing,sure_thing,0.0424,0
C00029,1,accidental_saver,accidental_saver,0.1513,0
C00029,2,accidental_saver,accidental_saver,0.1693,0
C00029,3,accidental_saver,accidental_saver,0.148,0
C00029,4,accidental_saver,accidental_saver,0.1666,0
C00029,5,accidental_saver,accidental_saver,0.1483,0
C00029,6,accidental_saver,accidental_saver,0.1437,0
C00029,7,accidental_saver,accidental_saver,0.1653,0
C00029,8,accidental_saver,accidental_saver,0.1589,0
C00030,1,hunter,hunter,0.4807,0
C00030,2,hunter,hunter,0.4755,0
C00030,3,hunter,hunter,0.5206,0
C00030,4,hunter,hunter,0.5006,0
C00030,5,hunter,hunter,0.5029,0
C00030,6,hunter,hunter,0.5368,0
C00030,7,hunter,hunter,0.5256,0
C00030,8,hunter,hunter,0.5344,0
C00031,1,hunter,hunter,0.4602,0
C00031,2,hunter,hunter,0.4389,0
C00031,3,hunter,hunter,0.5295,0
C00031,4,hunter,hunter,0.5197,0
C00031,5,hunter,hunter,0.5032,0
C00031,6,hunter,hunter,0.5637,0
C00031,7,hunter,hunter,0.5544,0
C00031,8,hunter,hunter,0.5426,0
C00032,1,sure_thing,sure_thing,0.0223,0
C00032,2,sure_thing,sure_thing,0.0447,0
C00032,3,sure_thing,sure_thing,0.0198,0
C00032,4,sure_thing,sure_thing,0.003,0
C00032,5,sure_thing,sure_thing,0.0217,0
C00032,6,sure_thing,sure_thing,0.0468,0
C00032,7,sure_thing,sure_thing,0.0249,0
C00032,8,sure_thing,sure_thing,0.0408,0
C00033,1,sure_thing,sure_thing,0.0461,0
C00033,2,sure_thing,sure_thing,0.0312,0
C00033,3,sure_thing,sure_thing,0.0361,0
C00033,4,sure_thing,sure_thing,0.0331,0
C00033,5,sure_thing,sure_thing,0.0512,0
C00033,6,sure_thing,sure_thing,0.0476,0
C00033,7,sure_thing,sure_thing,0.0358,0
C00033,8,sure_thing,sure_thing,0.0653,0
C00034,1,accidental_saver,accidental_saver,0.1278,0
C00034,2,accidental_saver,accidental_saver,0.1236,0
C00034,3,accidental_saver,accidental_saver,0.1222,0
C00034,4,accidental_saver,accidental_saver,0.121,0
C00034,5,accidental_saver,accidental_saver,0.0901,0
C00034,6,accidental_saver,accidental_saver,0.1175,0
C00034,7,accidental_saver,accidental_saver,0.1069,0
C00034,8,accidental_saver,accidental_saver,0.1076,0
C00035,1,sure_thing,sure_thing,0.0397,0
C00035,2,sure_thing,sure_thing,0.0261,0
C00035,3,sure_thing,sure_thing,0.0364,0
C00035,4,sure_thing,sure_thing,0.0315,0
C00035,5,sure_thing,sure_thing,0.0379,0
C00035,6,sure_thing,sure_thing,0.0441,0
C00035,7,sure_thing,sure_thing,0.0247,0
C00035,8,sure_thing,sure_thing,0.0204,0
C00036,1,sure_thing,sure_thing,0.0958,0
C00036,2,sure_thing,sure_thing,0.0827,0
C00036,3,sure_thing,sure_thing,0.063,0
C00036,4,sure_thing,sure_thing,0.0921,0
C00036,5,sure_thing,sure_thing,0.0963,0
C00036,6,sure_thing,sure_thing,0.0934,0
C00036,7,sure_thing,sure_thing,0.082,0
C00036,8,sure_thing,sure_thing,0.0758,0
C00037,1,accidental_saver,accidental_saver,0.1666,0
C00037,2,accidental_saver,accidental_saver,0.1504,0
C00037,3,accidental_saver,accidental_saver,0.1783,0
C00037,4,accidental_saver,accidental_saver,0.1734,0
C00037,5,accidental_saver,accidental_saver,0.1787,0
C00037,6,accidental_saver,hunter,0.5473,1
C00037,7,accidental_saver,hunter,0.5157,1
C00037,8,accidental_saver,hunter,0.5218,1
C00038,1,sure_thing,sure_thing,0.0559,0
C00038,2,sure_thing,sure_thing,0.0678,0
C00038,3,sure_thing,sure_thing,0.0717,0
C00038,4,sure_thing,sure_thing,0.0553,0
C00038,5,sure_thing,sure_thing,0.0726,0
C00038,6,sure_thing,sure_thing,0.076,0
C00038,7,sure_thing,sure_thing,0.0641,0
C00038,8,sure_thing,sure_thing,0.0848,0
C00039,1,accidental_saver,accidental_saver,0.1746,0
C00039,2,accidental_saver,accidental_saver,0.1871,0
C00039,3,accidental_saver,accidental_saver,0.191,0
C00039,4,accidental_saver,accidental_saver,0.1782,0
C00039,5,accidental_saver,accidental_saver,0.1642,0
C00039,6,accidental_saver,accidental_saver,0.1848,0
C00039,7,accidental_saver,accidental_saver,0.176,0
C00039,8,accidental_saver,accidental_saver,0.1726,0
C00040,1,accidental_saver,accidental_saver,0.0876,0
C00040,2,accidental_saver,accidental_saver,0.0791,0
C00040,3,accidental_saver,accidental_saver,0.0783,0
C00040,4,accidental_saver,accidental_saver,0.0761,0
C00040,5,accidental_saver,accidental_saver,0.0902,0
C00040,6,accidental_saver,accidental_saver,0.073,0
C00040,7,accidental_saver,accidental_saver,0.0919,0
C00040,8,accidental_saver,accidental_saver,0.0903,0
C00041,1,hunter,hunter,0.4629,0
C00041,2,hunter,hunter,0.4984,0
C00041,3,hunter,hunter,0.4715,0
C00041,4,hunter,hunter,0.5368,0
C00041,5,hunter,hunter,0.5489,0
C00041,6,hunter,hunter,0.4947,0
C00041,7,hunter,hunter,0.5582,0
C00041,8,hunter,hunter,0.5418,0
C00042,1,accidental_saver,accidental_saver,0.0663,0
C00042,2,accidental_saver,accidental_saver,0.0337,0
C00042,3,accidental_saver,accidental_saver,0.0681,0
C00042,4,accidental_saver,accidental_saver,0.0545,0
C00042,5,accidental_saver,accidental_saver,0.0426,0
C00042,6,accidental_saver,accidental_saver,0.0416,0
C00042,7,accidental_saver,accidental_saver,0.051,0
C00042,8,accidental_saver,accidental_saver,0.0206,0
C00043,1,sure_thing,sure_thing,0.0521,0
C00043,2,sure_thing,sure_thing,0.0559,0
C00043,3,sure_thing,sure_thing,0.0536,0
C00043,4,sure_thing,sure_thing,0.0467,0
C00043,5,sure_thing,sure_thing,0.07,0
C00043,6,sure_thing,sure_thing,0.0607,0
C00043,7,sure_thing,sure_thing,0.052,0
C00043,8,sure_thing,sure_thing,0.0652,0
C00044,1,hunter,hunter,0.479,0
C00044,2,hunter,hunter,0.4858,0
C00044,3,hunter,hunter,0.426,0
C00044,4,hunter,hunter,0.4648,0
C00044,5,hunter,hunter,0.506,0
C00044,6,hunter,hunter,0.5676,0
C00044,7,hunter,hunter,0.5882,0
C00044,8,hunter,hunter,0.5495,0
C00045,1,hunter,hunter,0.4525,0
C00045,2,hunter,hunter,0.4658,0
C00045,3,hunter,hunter,0.5017,0
C00045,4,hunter,hunter,0.5339,0
C00045,5,hunter,hunter,0.4944,0
C00045,6,hunter,hunter,0.5534,0
C00045,7,hunter,hunter,0.5616,0
C00045,8,hunter,hunter,0.5436,0
C00046,1,sure_thing,sure_thing,0.0387,0
C00046,2,sure_thing,sure_thing,0.0617,0
C00046,3,sure_thing,sure_thing,0.0366,0
C00046,4,sure_thing,sure_thing,0.0293,0
C00046,5,sure_thing,sure_thing,0.0491,0
C00046,6,sure_thing,sure_thing,0.0605,0
C00046,7,sure_thing,sure_thing,0.0356,0
C00046,8,sure_thing,sure_thing,0.0293,0
C00047,1,sure_thing,sure_thing,0.0568,0
C00047,2,sure_thing,sure_thing,0.0602,0
C00047,3,sure_thing,sure_thing,0.0331,0
C00047,4,sure_thing,sure_thing,0.0582,0
C00047,5,sure_thing,sure_thing,0.0791,0
C00047,6,sure_thing,sure_thing,0.0614,0
C00047,7,sure_thing,sure_thing,0.0704,0
C00047,8,sure_thing,sure_thing,0.0674,0
C00048,1,accidental_saver,accidental_saver,0.2355,0
C00048,2,accidental_saver,accidental_saver,0.2428,0
C00048,3,accidental_saver,accidental_saver,0.2342,0
C00048,4,accidental_saver,accidental_saver,0.2287,0
C00048,5,accidental_saver,accidental_saver,0.2349,0
C00048,6,accidental_saver,accidental_saver,0.2424,0
C00048,7,accidental_saver,accidental_saver,0.2279,0
C00048,8,accidental_saver,accidental_saver,0.2439,0
C00049,1,sure_thing,sure_thing,0.0361,0
C00049,2,sure_thing,sure_thing,0.0134,0
C00049,3,sure_thing,sure_thing,0.0234,0
C00049,4,sure_thing,sure_thing,0.003,0
C00049,5,sure_thing,sure_thing,0.0177,0
C00049,6,sure_thing,sure_thing,0.0282,0
C00049,7,sure_thing,sure_thing,0.0245,0
C00049,8,sure_thing,sure_thing,0.0116,0
C00050,1,sure_thing,sure_thing,0.0202,0
C00050,2,sure_thing,sure_thing,0.0331,0
C00050,3,sure_thing,sure_thing,0.0299,0
C00050,4,sure_thing,sure_thing,0.015,0
C00050,5,sure_thing,sure_thing,0.0288,0
C00050,6,sure_thing,sure_thing,0.0396,0
C00050,7,sure_thing,sure_thing,0.0177,0
C00050,8,sure_thing,sure_thing,0.0265,0
C00051,1,sure_thing,sure_thing,0.0556,0
C00051,2,sure_thing,sure_thing,0.0411,0
C00051,3,sure_thing,sure_thing,0.0534,0
C00051,4,sure_thing,sure_thing,0.0318,0
C00051,5,sure_thing,sure_thing,0.0373,0
C00051,6,sure_thing,sure_thing,0.0506,0
