customer_id,week,effective_archetype,week_ite,j_curve_ratio,scratch_velocity,accumulation_slope,expired_cashback_fraction,wallet_end_rs,time_to_expiry_at_conversion,coupon_contribution_ratio,weekly_sessions,weekly_orders,weekly_revenue_rs,cashback_applied_rs
C00000,1,hunter,0.4261,0.4252,0.4286,4.9714,0.005,198.0,0.0,0.2395,25.11,1,826.86,198.0
C00000,2,hunter,0.4876,1.3136,0.4286,9.2,0.0488,78.0,0.0,0.0809,29.79,1,963.73,78.0
C00000,3,hunter,0.4899,1.8629,0.4286,6.1429,0.0,146.0,1.0,0.1821,16.32,1,801.87,146.0
C00000,4,hunter,0.5245,1.0915,0.4286,1.7143,0.0,200.0,0.0,0.1891,27.33,1,1057.53,200.0
C00000,5,hunter,0.5255,0.6953,0.4286,-0.3571,0.0,132.0,1.0,0.1576,24.64,1,837.66,132.0
C00000,6,hunter,0.5278,1.5,0.4286,-19.5,0.0148,200.0,0.0,0.2103,23.01,1,950.81,200.0
C00000,7,hunter,0.5655,2.222,0.4286,-3.1143,0.0654,143.0,0.0,0.1444,29.55,1,990.24,143.0
C00000,8,hunter,0.6114,1.612,0.4286,2.0571,0.0,200.0,0.0,0.2066,22.92,1,968.06,200.0
C00001,1,accidental_saver,0.1306,0.7714,0.3333,-21.0,0.0,73.0,,0.0,23.83,0,0.0,0.0
C00001,2,accidental_saver,0.138,1.0762,0.6667,-3.5,0.0,11.0,,0.0,16.59,0,0.0,0.0
C00001,3,accidental_saver,0.1212,0.8321,0.25,-0.7,0.0,53.0,,0.0,23.2,0,0.0,0.0
C00001,4,accidental_saver,0.1117,1.0769,0.3333,-1.5,0.0,68.0,4.0,0.22,20.41,1,309.06,68.0
C00001,5,accidental_saver,0.1254,1.9612,0.5,10.3,0.0,163.0,4.0,0.2154,21.84,1,756.59,163.0
C00001,6,accidental_saver,0.1137,1.806,0.4,5.2,0.0,110.0,2.0,0.2548,19.94,1,431.75,110.0
C00001,7,accidental_saver,0.1276,0.6686,1.0,7.5,0.0,28.0,2.0,0.0515,20.16,1,543.64,28.0
C00001,8,accidental_saver,0.1112,0.4161,0.3333,6.0,0.0,150.0,2.0,0.2758,25.13,1,543.92,150.0
C00002,1,hunter,0.4673,0.2925,0.4286,3.0,0.0431,200.0,1.0,0.274,16.26,1,729.92,200.0
C00002,2,hunter,0.4672,2.2898,0.4286,9.4,0.0852,161.0,0.0,0.1445,12.47,1,1114.31,161.0
C00002,3,hunter,0.5236,0.7377,0.5,6.9429,0.0,155.0,4.0,0.1959,15.18,1,791.29,155.0
C00002,4,hunter,0.5037,1.1465,0.4286,10.1,0.0,200.0,1.0,0.2944,14.36,1,679.3,200.0
C00002,5,hunter,0.5276,0.4551,0.4286,-1.9,0.0,200.0,0.0,0.3007,19.79,1,665.09,200.0
C00002,6,hunter,0.5777,1.8145,0.4286,-7.3143,0.0291,200.0,0.0,0.2349,21.1,1,851.25,200.0
C00002,7,hunter,0.5478,0.7933,0.4286,11.5429,0.1172,128.0,1.0,0.2429,25.41,1,526.89,128.0
C00002,8,hunter,0.5297,1.2427,0.4286,4.7,0.0829,177.0,1.0,0.2787,25.36,1,635.0,177.0
C00003,1,accidental_saver,0.1605,0.644,0.6,-8.6,0.0,142.0,3.0,0.1465,18.84,1,969.32,142.0
C00003,2,accidental_saver,0.167,0.8566,0.5,10.4857,0.0,161.0,3.0,0.2158,26.68,1,746.23,161.0
C00003,3,accidental_saver,0.1828,0.5975,0.4,-1.1,0.0,80.0,,0.0,21.85,0,0.0,0.0
C00003,4,accidental_saver,0.159,0.1855,0.25,4.6,0.0,112.0,2.0,0.1417,20.78,1,790.27,112.0
C00003,5,accidental_saver,0.1683,0.3554,0.6,-1.8,0.0,100.0,1.0,0.1175,17.6,1,851.18,100.0
C00003,6,accidental_saver,0.1643,0.5632,0.3333,-12.5,0.0,75.0,4.0,0.0876,19.03,1,856.56,75.0
C00003,7,accidental_saver,0.1653,0.5396,0.5,-3.7429,0.0,115.0,2.0,0.1628,24.58,1,706.57,115.0
C00003,8,accidental_saver,0.1657,1.4659,0.5,1.2571,0.0,154.0,3.0,0.234,26.04,1,658.06,154.0
C00004,1,sure_thing,0.0245,0.3744,1.0,-4.5,0.0,49.0,6.0,0.0577,19.33,1,848.82,49.0
C00004,2,sure_thing,0.023,1.0455,0.4,-13.6,0.0,160.0,4.0,0.2317,23.71,1,690.43,160.0
C00004,3,sure_thing,0.0034,0.1559,0.75,-13.3,0.0,69.0,5.0,0.117,15.14,1,589.67,69.0
C00004,4,sure_thing,0.0011,1.3484,0.25,-6.3,0.0,35.0,3.0,0.0461,26.7,1,759.8,35.0
C00004,5,sure_thing,0.0102,0.4048,0.6,-1.0,0.0,30.0,2.0,0.0347,25.24,1,863.72,30.0
C00004,6,sure_thing,0.0063,0.6081,0.4,12.4,0.0,127.0,3.0,0.1465,15.86,1,866.83,127.0
C00004,7,sure_thing,0.0204,1.1755,0.25,-17.3,0.0,107.0,1.0,0.182,25.14,1,587.78,107.0
C00004,8,sure_thing,0.01,0.7777,0.4,4.3,0.0,152.0,,0.0,26.14,0,0.0,0.0
C00005,1,hunter,0.475,4.321,0.4286,2.5714,0.0783,200.0,0.0,0.2015,26.45,1,992.38,200.0
C00005,2,hunter,0.5478,1.9915,0.4286,7.1071,0.0,147.0,0.0,0.2795,23.72,1,525.97,147.0
C00005,3,hunter,0.5017,0.627,0.4286,1.7143,0.0,152.0,0.0,0.1525,23.05,1,996.74,152.0
C00005,4,hunter,0.5053,1.7503,0.4286,7.8857,0.0741,200.0,1.0,0.2055,16.37,1,973.07,200.0
C00005,5,hunter,0.5787,2.3837,0.4286,-7.2,0.0,200.0,1.0,0.459,32.68,1,435.76,200.0
C00005,6,hunter,0.5422,0.798,0.4286,-6.4571,0.0122,162.0,1.0,0.2367,18.88,1,684.49,162.0
C00005,7,hunter,0.5601,2.2701,0.4286,5.7,0.0476,200.0,0.0,0.2332,27.8,1,857.49,200.0
C00005,8,hunter,0.5651,2.8426,0.4286,-2.4,0.0521,200.0,0.0,0.2684,20.34,1,745.29,200.0
C00006,1,hunter,0.4532,0.5891,0.5,-6.6857,0.0,184.0,2.0,0.2776,14.97,1,662.83,184.0
C00006,2,hunter,0.4961,1.4372,0.4,-0.3,0.0,96.0,2.0,0.0913,14.96,1,1051.54,96.0
C00006,3,hunter,0.5037,0.614,0.3333,-9.2571,0.0,142.0,3.0,0.2498,18.03,1,568.53,142.0
C00006,4,hunter,0.5107,1.928,0.5,1.0286,0.0,134.0,2.0,0.3063,18.11,1,437.51,134.0
C00006,5,hunter,0.5439,1.1798,0.4286,-3.6571,0.0291,200.0,0.0,0.2103,18.45,1,951.17,200.0
C00006,6,hunter,0.5315,0.8182,0.5,-2.9143,0.0,114.0,4.0,0.1139,18.07,1,1001.17,114.0
C00006,7,hunter,0.5541,0.8302,0.3333,-11.0,0.0,76.0,3.0,0.0964,26.37,1,788.25,76.0
C00006,8,hunter,0.5405,1.8653,0.4286,5.0857,0.0196,200.0,2.0,0.461,28.22,1,433.84,200.0
C00007,1,hunter,0.5297,1.4739,0.6667,25.0,0.0,56.0,3.0,0.0777,23.22,1,720.84,56.0
C00007,2,hunter,0.4701,0.6493,0.3333,8.0,0.0,75.0,,0.0,25.2,0,0.0,0.0
C00007,3,hunter,0.5503,2.3177,0.4286,6.8,0.0467,102.0,0.0,0.107,24.1,1,953.55,102.0
C00007,4,hunter,0.5,0.6357,0.4286,10.0,0.0099,200.0,0.0,0.3357,18.88,1,595.78,200.0
C00007,5,hunter,0.5338,3.4427,0.4286,18.2,0.1569,172.0,0.0,0.2499,16.18,1,688.37,172.0
C00007,6,hunter,0.5796,2.4357,0.4286,19.4,0.0833,198.0,1.0,0.2881,27.66,1,687.35,198.0
C00007,7,hunter,0.5432,0.7647,0.4286,0.5,0.0,175.0,1.0,0.2329,19.16,1,751.38,175.0
C00007,8,hunter,0.5527,0.5394,0.5,9.5,0.0,105.0,4.0,0.1765,15.81,1,594.98,105.0
C00008,1,sure_thing,0.0501,0.2259,0.6,-3.1,0.0,86.0,6.0,0.0996,18.85,1,863.25,86.0
C00008,2,sure_thing,0.0561,1.2202,0.5,4.1,0.0,57.0,,0.0,25.94,0,0.0,0.0
C00008,3,sure_thing,0.0599,2.709,0.6,-3.2,0.0,56.0,0.0,0.1129,18.39,1,496.17,56.0
C00008,4,sure_thing,0.0411,0.5101,0.5,-1.2286,0.0,69.0,,0.0,19.48,0,0.0,0.0
C00008,5,sure_thing,0.0496,0.2384,0.6,8.6,0.0,91.0,5.0,0.1089,19.89,1,835.94,91.0
C00008,6,sure_thing,0.0596,0.4956,1.0,-8.5,0.0,43.0,6.0,0.0458,17.28,1,939.11,43.0
C00008,7,sure_thing,0.0482,0.9091,1.0,10.5,0.0,43.0,6.0,0.0435,22.07,1,989.5,43.0
C00008,8,sure_thing,0.0521,0.1622,0.75,0.9,0.0,33.0,4.0,0.0316,22.42,1,1043.5,33.0
C00009,1,accidental_saver,0.0755,1.5686,0.5,-2.2,0.0,120.0,2.0,0.2501,16.77,1,479.72,120.0
C00009,2,accidental_saver,0.0918,0.5737,0.3333,31.0,0.0,125.0,4.0,0.156,17.24,1,801.44,125.0
C00009,3,accidental_saver,0.0596,1.8949,0.4286,13.2,0.0,200.0,1.0,0.2386,23.64,1,838.29,200.0
C00009,4,accidental_saver,0.0747,1.0988,0.3333,26.0,0.0,64.0,3.0,0.1021,18.48,1,626.82,64.0
C00009,5,accidental_saver,0.0904,0.9224,0.5,-5.3,0.0,59.0,2.0,0.052,20.76,1,1133.91,59.0
C00009,6,hunter,0.52,0.5034,0.75,1.2,0.0,108.0,3.0,0.1236,17.88,1,873.76,108.0
C00009,7,hunter,0.4943,1.0945,0.4286,4.9143,0.0216,136.0,0.0,0.1732,12.91,1,785.39,136.0
C00009,8,hunter,0.5722,1.2189,0.3333,-4.5,0.0,63.0,3.0,0.0899,29.2,1,700.53,63.0
C00010,1,sure_thing,0.0321,0.0677,0.6,-3.0,0.0,66.0,5.0,0.0957,19.37,1,689.62,66.0
C00010,2,sure_thing,0.0181,0.1695,0.6,-1.5,0.0,64.0,6.0,0.1049,17.58,1,610.03,64.0
C00010,3,sure_thing,0.0254,0.374,1.0,7.5,0.0,30.0,6.0,0.0261,16.71,1,1147.61,30.0
C00010,4,sure_thing,0.0233,0.3287,0.75,15.6,0.0,132.0,6.0,0.1024,12.88,1,1289.07,132.0
C00010,5,sure_thing,0.0214,0.2519,0.75,-5.8,0.0,84.0,6.0,0.0837,14.11,1,1004.06,84.0
C00010,6,sure_thing,0.0176,0.2916,0.6,-0.4,0.0,60.0,6.0,0.076,15.4,1,789.99,60.0
C00010,7,sure_thing,0.0238,0.5019,0.75,-7.7,0.0,79.0,6.0,0.0858,28.75,1,920.44,79.0
C00010,8,sure_thing,0.046,0.5241,1.0,-4.0,0.0,15.0,6.0,0.0173,14.71,1,868.94,15.0
C00011,1,hunter,0.4577,1.1604,0.4286,-9.7,0.1097,138.0,1.0,0.1824,18.75,1,756.68,138.0
C00011,2,hunter,0.4654,1.1963,0.4286,9.6286,0.1043,103.0,0.0,0.1901,30.1,1,541.88,103.0
C00011,3,hunter,0.5004,0.1342,0.4286,0.8571,0.0698,200.0,1.0,0.2682,11.02,1,745.76,200.0
C00011,4,hunter,0.5109,0.2517,0.4286,-7.6857,0.125,119.0,0.0,0.1237,15.23,1,961.98,119.0
C00011,5,hunter,0.5357,0.4028,0.4286,7.7,0.0099,200.0,1.0,0.2891,20.93,1,691.82,200.0
C00011,6,hunter,0.5357,1.6339,0.4286,10.0571,0.0431,200.0,0.0,0.2943,22.41,1,679.69,200.0
C00011,7,hunter,0.5404,2.3644,0.4286,-0.6857,0.0,200.0,0.0,0.1968,38.11,1,1016.49,200.0
C00011,8,hunter,0.5439,0.9122,0.4286,2.4286,0.0513,185.0,0.0,0.1775,21.21,1,1042.14,185.0
C00012,1,accidental_saver,0.1799,0.5959,0.4286,3.2571,0.0806,114.0,1.0,0.1546,17.15,1,737.33,114.0
C00012,2,accidental_saver,0.193,0.6063,0.4286,-0.7429,0.0164,180.0,1.0,0.34,15.89,1,529.44,180.0
C00012,3,accidental_saver,0.1775,0.491,0.4286,-17.6,0.0698,200.0,1.0,0.2886,20.15,1,693.09,200.0
C00012,4,accidental_saver,0.1946,1.302,0.4286,7.8929,0.0,200.0,0.0,0.221,27.58,1,904.83,200.0
C00012,5,accidental_saver,0.1906,0.9776,0.6,0.3,0.0,141.0,4.0,0.3248,16.96,1,434.05,141.0
C00012,6,accidental_saver,0.1912,2.7563,0.25,-11.0,0.0,108.0,4.0,0.1052,23.15,1,1026.68,108.0
C00012,7,accidental_saver,0.1914,1.0283,0.4,-0.0,0.0,64.0,3.0,0.0792,24.22,1,808.28,64.0
C00012,8,accidental_saver,0.1865,1.4349,0.3333,3.5,0.0,21.0,,0.0,15.95,0,0.0,0.0
C00013,1,hunter,0.4725,1.2233,0.3333,-17.5,0.0,65.0,,0.0,30.23,0,0.0,0.0
C00013,2,hunter,0.4715,1.3137,0.75,-2.1,0.0,25.0,3.0,0.0278,24.15,1,900.85,25.0
C00013,3,hunter,0.5223,0.3372,0.4286,2.6857,0.1215,94.0,0.0,0.1997,12.05,1,470.64,94.0
C00013,4,hunter,0.5378,0.7311,0.4,3.4,0.0,55.0,3.0,0.082,15.59,1,670.48,55.0
C00013,5,hunter,0.5518,0.9343,0.4286,-2.8,0.0,200.0,1.0,0.2555,20.44,1,782.67,200.0
C00013,6,hunter,0.5204,1.1139,0.75,3.1,0.0,101.0,1.0,0.1525,15.66,1,662.22,101.0
C00013,7,hunter,0.5755,0.754,0.4,-3.3,0.0,111.0,1.0,0.1844,21.46,1,602.11,111.0
C00013,8,hunter,0.5847,2.8899,0.4286,0.4,0.1194,118.0,1.0,0.2059,27.62,1,573.18,118.0
C00014,1,accidental_saver,0.1584,0.5877,0.4,13.2,0.0,149.0,,0.0,18.93,0,0.0,0.0
C00014,2,accidental_saver,0.1717,1.1303,0.5,17.3,0.0,123.0,2.0,0.166,14.72,1,740.95,123.0
C00014,3,accidental_saver,0.1534,1.407,0.4,-2.7,0.0,97.0,4.0,0.1476,12.89,1,657.18,97.0
C00014,4,accidental_saver,0.1675,0.47,0.5,0.2,0.0,129.0,4.0,0.2117,18.63,1,609.29,129.0
C00014,5,accidental_saver,0.1704,0.6884,0.6667,-10.0,0.0,62.0,4.0,0.0694,14.28,1,893.51,62.0
C00014,6,accidental_saver,0.1551,1.2885,0.6667,21.5,0.0,65.0,1.0,0.0964,25.87,1,674.47,65.0
C00014,7,accidental_saver,0.1567,0.4782,0.6667,3.0,0.0,80.0,2.0,0.1481,20.59,1,540.26,80.0
C00014,8,accidental_saver,0.1808,1.5262,0.6667,-12.0,0.0,29.0,4.0,0.0325,20.41,1,892.58,29.0
C00015,1,sure_thing,0.1137,0.1838,0.5,-35.0,0.0,200.0,1.0,0.2141,20.45,1,933.96,200.0
C00015,2,sure_thing,0.1048,1.3484,0.75,-3.1,0.0,25.0,6.0,0.0244,15.36,1,1026.25,25.0
C00015,3,sure_thing,0.0923,4.5082,0.5,5.8286,0.0,200.0,2.0,0.2974,20.05,1,672.59,200.0
C00015,4,sure_thing,0.1111,0.3124,1.0,3.0,0.0,23.0,6.0,0.071,17.34,1,323.78,23.0
C00015,5,sure_thing,0.1113,0.7673,1.0,16.0,0.0,60.0,6.0,0.0842,25.79,1,712.69,60.0
C00015,6,sure_thing,0.1113,0.9333,1.0,-6.5,0.0,19.0,6.0,0.0208,20.57,1,914.79,19.0
C00015,7,sure_thing,0.1013,0.9071,0.0,-4.0,0.0,45.0,3.0,0.0797,25.74,1,564.45,45.0
C00015,8,sure_thing,0.1182,0.2705,0.6,5.3,0.0,78.0,6.0,0.1453,14.55,1,536.77,78.0
C00016,1,accidental_saver,0.1791,1.8161,0.6,7.6,0.0,82.0,1.0,0.1196,13.79,1,685.45,82.0
C00016,2,accidental_saver,0.1832,0.2754,0.5,7.4857,0.0,154.0,,0.0,17.92,0,0.0,0.0
C00016,3,accidental_saver,0.2004,0.4517,0.5,-4.0,0.0,82.0,1.0,0.1217,20.62,1,673.67,82.0
C00016,4,accidental_saver,0.2064,1.3918,0.3333,8.8571,0.0,166.0,,0.0,15.76,0,0.0,0.0
C00016,5,accidental_saver,0.2056,0.8044,0.5,3.5429,0.0,90.0,,0.0,18.84,0,0.0,0.0
C00016,6,accidental_saver,0.1913,1.2099,0.25,5.6,0.0,102.0,4.0,0.1421,13.79,1,717.73,102.0
C00016,7,accidental_saver,0.2038,2.9459,0.3333,0.4,0.0,92.0,3.0,0.0908,11.37,1,1013.45,92.0
C00016,8,accidental_saver,0.2174,0.8239,0.3333,28.5,0.0,79.0,4.0,0.1153,26.89,1,685.1,79.0
