customer_id,week,day_in_window,sessions,session_dur_min
C00000,1,1,3.17,20.4
C00000,1,2,6.53,46.7
C00000,1,3,5.52,29.2
C00000,1,4,3.16,20.1
C00000,1,5,1.99,8.9
C00000,1,6,4.28,15.7
C00000,1,7,0.46,3.4
C00000,2,1,6.16,28.4
C00000,2,2,2.66,11.5
C00000,2,3,3.04,18.0
C00000,2,4,3.41,13.8
C00000,2,5,2.82,12.3
C00000,2,6,0.42,2.5
C00000,2,7,11.28,60.4
C00000,3,1,2.32,12.4
C00000,3,2,0.89,3.6
C00000,3,3,1.16,4.0
C00000,3,4,2.68,18.7
C00000,3,5,1.98,4.5
C00000,3,6,7.29,42.2
C00000,3,7,0.0,0.0
C00000,4,1,4.84,25.4
C00000,4,2,2.85,11.5
C00000,4,3,3.92,23.4
C00000,4,4,3.31,20.2
C00000,4,5,2.87,9.8
C00000,4,6,6.02,38.5
C00000,4,7,3.52,16.2
C00000,5,1,3.21,14.2
C00000,5,2,3.29,15.8
C00000,5,3,5.29,35.8
C00000,5,4,4.74,30.8
C00000,5,5,1.95,15.7
C00000,5,6,1.62,6.8
C00000,5,7,4.54,24.8
C00000,6,1,2.89,10.7
C00000,6,2,2.75,10.9
C00000,6,3,4.07,28.4
C00000,6,4,2.09,16.6
C00000,6,5,0.0,3.2
C00000,6,6,5.52,34.4
C00000,6,7,5.69,32.6
C00000,7,1,2.07,8.6
C00000,7,2,4.74,24.9
C00000,7,3,2.95,10.8
C00000,7,4,1.6,7.1
C00000,7,5,1.51,9.9
C00000,7,6,9.36,28.8
C00000,7,7,7.32,26.8
C00000,8,1,4.13,26.2
C00000,8,2,4.01,29.6
C00000,8,3,0.0,0.0
C00000,8,4,1.15,3.0
C00000,8,5,3.27,17.6
C00000,8,6,0.0,0.0
C00000,8,7,10.36,53.0
C00001,1,1,5.05,30.3
C00001,1,2,1.24,3.8
C00001,1,3,4.83,21.8
C00001,1,4,3.27,14.2
C00001,1,5,2.95,12.1
C00001,1,6,0.0,0.0
C00001,1,7,6.49,37.6
C00001,2,1,2.65,18.9
C00001,2,2,0.41,2.0
C00001,2,3,3.97,26.9
C00001,2,4,0.6,3.8
C00001,2,5,2.84,15.1
C00001,2,6,2.28,12.7
C00001,2,7,3.84,22.7
C00001,3,1,5.6,41.9
C00001,3,2,3.25,8.1
C00001,3,3,2.07,6.1
C00001,3,4,0.0,0.0
C00001,3,5,5.39,24.5
C00001,3,6,4.36,15.2
C00001,3,7,2.53,15.7
C00001,4,1,3.06,22.3
C00001,4,2,4.02,25.4
C00001,4,3,0.0,0.0
C00001,4,4,5.07,19.8
C00001,4,5,2.1,6.8
C00001,4,6,2.77,9.2
C00001,4,7,3.39,20.1
C00001,5,1,0.0,0.0
C00001,5,2,2.51,14.0
C00001,5,3,2.95,19.1
C00001,5,4,2.53,14.3
C00001,5,5,4.75,22.9
C00001,5,6,2.51,17.8
C00001,5,7,6.59,39.0
C00001,6,1,3.17,14.7
C00001,6,2,0.0,0.8
C00001,6,3,2.88,8.5
C00001,6,4,1.94,9.3
C00001,6,5,2.86,15.3
C00001,6,6,5.54,17.9
C00001,6,7,3.55,21.1
C00001,7,1,4.63,28.5
C00001,7,2,1.5,9.7
C00001,7,3,1.12,6.4
C00001,7,4,5.31,32.5
C00001,7,5,3.7,20.0
C00001,7,6,2.02,6.1
C00001,7,7,1.88,13.5
C00001,8,1,4.61,23.1
C00001,8,2,3.07,19.2
C00001,8,3,4.7,34.4
C00001,8,4,6.19,33.3
C00001,8,5,2.71,12.8
C00001,8,6,1.03,3.6
C00001,8,7,2.82,14.9
C00002,1,1,1.78,8.0
C00002,1,2,3.48,14.4
C00002,1,3,2.78,12.9
C00002,1,4,2.98,17.1
C00002,1,5,3.38,14.9
C00002,1,6,0.1,2.3
C00002,1,7,1.76,12.2
C00002,2,1,0.0,0.1
C00002,2,2,1.89,12.7
C00002,2,3,1.89,9.0
C00002,2,4,0.0,0.0
