customer_id,week,day_in_window,card_amount_rs,scratched,deliberately_expired,added_to_wallet
C00000,1,1,2.0,1,0,2.0
C00000,1,2,57.0,1,0,57.0
C00000,1,3,13.0,1,0,13.0
C00000,1,4,27.0,1,0,27.0
C00000,1,5,77.0,1,0,77.0
C00000,1,6,22.0,1,0,22.0
C00000,1,7,1.0,1,1,0.0
C00000,2,1,1.0,1,0,1.0
C00000,2,2,15.0,1,0,15.0
C00000,2,3,5.0,1,0,5.0
C00000,2,4,5.0,1,0,5.0
C00000,2,5,52.0,1,0,52.0
C00000,2,6,1.0,1,1,0.0
C00000,2,7,3.0,1,1,0.0
C00000,3,1,4.0,1,0,4.0
C00000,3,2,9.0,1,0,9.0
C00000,3,3,19.0,1,0,19.0
C00000,3,4,25.0,1,0,25.0
C00000,3,5,12.0,1,0,12.0
C00000,3,6,22.0,1,0,22.0
C00000,3,7,55.0,1,0,55.0
C00000,4,1,71.0,1,0,71.0
C00000,4,2,8.0,1,0,8.0
C00000,4,3,6.0,1,0,6.0
C00000,4,4,3.0,1,0,3.0
C00000,4,5,3.0,1,0,3.0
C00000,4,6,47.0,1,0,47.0
C00000,4,7,68.0,1,0,62.0
C00000,5,1,33.0,1,0,33.0
C00000,5,2,17.0,1,0,17.0
C00000,5,3,10.0,1,0,10.0
C00000,5,4,13.0,1,0,13.0
C00000,5,5,6.0,1,0,6.0
C00000,5,6,32.0,1,0,32.0
C00000,5,7,21.0,1,0,21.0
C00000,6,1,80.0,1,0,80.0
C00000,6,2,79.0,1,0,79.0
C00000,6,3,100.0,1,0,41.0
C00000,6,4,5.0,1,0,0.0
C00000,6,5,81.0,1,0,0.0
C00000,6,6,45.0,1,0,0.0
C00000,6,7,3.0,1,1,0.0
C00000,7,1,6.0,1,0,6.0
C00000,7,2,36.0,1,0,36.0
C00000,7,3,57.0,1,0,57.0
C00000,7,4,33.0,1,0,33.0
C00000,7,5,1.0,1,0,1.0
C00000,7,6,10.0,1,0,10.0
C00000,7,7,10.0,1,1,0.0
C00000,8,1,10.0,1,0,10.0
C00000,8,2,13.0,1,0,13.0
C00000,8,3,92.0,1,0,92.0
C00000,8,4,3.0,1,0,3.0
C00000,8,5,80.0,1,0,80.0
C00000,8,6,53.0,1,0,2.0
C00000,8,7,55.0,1,0,0.0
